motif,source,count
AAAAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_not_n_rpkm50_wg, FC_cls_rpkm0_n_rpkm20_wg, FC_test_run",7
AAAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_not_n_rpkm50_wg, FC_cls_rpkm0_n_rpkm20_random, FC_cls_rpkm0_n_rpkm20_wg",7
AAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_not_n_rpkm50_wg, FC_cls_rpkm0_n_rpkm20_wg",6
EEDDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg, FC_test_run",6
FFFDDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg, FC_test_run",6
BBAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg, FC_test_run",6
EEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, FC_cls_not_n_rpkm50_wg, FC_cls_rpkm0_n_rpkm20_wg",5
AAEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_not_n_rpkm50_wg",5
FFFFD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg",5
BAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg",5
BAAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg",5
CCFFF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, FC_cls_rpkm0_n_rpkm20_wg, FC_test_run",5
FFFFFFF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg",5
EEEED,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_not_n_rpkm50_wg",5
EEEDDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, FC_cls_rpkm0_n_rpkm20_wg, FC_test_run",5
EEEAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg",5
EEEAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, FC_cls_not_n_rpkm50_wg, FC_cls_rpkm0_n_rpkm20_wg",5
EEEAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, FC_cls_rpkm0_n_rpkm20_wg, FC_test_run",5
DDEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg",5
FFFFF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg",5
DDDEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_rpkm0_n_rpkm20_wg",5
AAAAAAAEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv, FC_cls_not_n_rpkm50_wg",5
AAABB,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, FC_cls_not_n_rpkm50_wg, FC_cls_rpkm0_n_rpkm20_wg",5
FFFFFFFFF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv, CB_training_motif_prom_result_init_df.csv",4
